                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.8084,                 1.0822,                 1.6591,                0.76545,                0.61199,                0.69082,                0.32457,                  1.954,                  1.303,                 1.9166,              0.0005216,              0.0005216,              0.0005216
                    115,                 1.7606,                 1.0984,                 1.6687,                0.75833,                0.63829,                0.71664,                0.33045,                 1.9404,                 1.2412,                  1.914,              0.0005084,              0.0005084,              0.0005084
                    116,                 1.7888,                 1.0721,                 1.6442,                0.79693,                0.60729,                0.70343,                0.32897,                   1.95,                 1.3226,                  1.923,              0.0004952,              0.0004952,              0.0004952
                    117,                 1.7647,                 1.0751,                 1.6442,                0.77059,                 0.6067,                  0.695,                0.32183,                 1.9481,                 1.3118,                 1.9128,               0.000482,               0.000482,               0.000482
                    118,                 1.7858,                 1.0732,                 1.6454,                0.78526,                0.61269,                0.71388,                0.33101,                  1.954,                 1.2601,                 1.9109,              0.0004688,              0.0004688,              0.0004688
                    119,                  1.772,                 1.0722,                 1.6618,                0.77422,                0.61258,                0.70548,                 0.3228,                 1.9588,                  1.297,                 1.9126,              0.0004556,              0.0004556,              0.0004556
                    120,                 1.7889,                 1.0817,                  1.648,                0.77647,                0.61493,                0.69526,                0.31873,                 1.9558,                 1.3292,                 1.9148,              0.0004424,              0.0004424,              0.0004424
                    121,                 1.7647,                 1.0554,                  1.626,                 0.7716,                 0.6415,                0.70988,                0.32557,                 1.9592,                  1.263,                 1.9277,              0.0004292,              0.0004292,              0.0004292
                    122,                  1.763,                 1.0557,                 1.6639,                0.77016,                0.61199,                0.69228,                 0.3196,                 1.9571,                 1.3229,                 1.9273,               0.000416,               0.000416,               0.000416
                    123,                 1.7513,                  1.026,                 1.6187,                0.76423,                0.62504,                0.69929,                 0.3225,                 1.9709,                 1.2993,                 1.9271,              0.0004028,              0.0004028,              0.0004028
                    124,                 1.7493,                 1.0206,                 1.6216,                0.76524,                0.60964,                0.69632,                0.32018,                 1.9774,                 1.3209,                 1.9381,              0.0003896,              0.0003896,              0.0003896
                    125,                 1.7588,                 1.0494,                 1.6418,                0.79735,                 0.6261,                0.71405,                0.32882,                 1.9539,                 1.2843,                 1.9205,              0.0003764,              0.0003764,              0.0003764
                    126,                 1.7897,                 1.0527,                 1.6448,                0.78225,                0.61457,                0.69725,                0.32471,                  1.953,                 1.3136,                 1.9115,              0.0003632,              0.0003632,              0.0003632
                    127,                 1.7493,                   1.04,                 1.6132,                0.78463,                0.60259,                0.68381,                0.31818,                 1.9608,                 1.3953,                  1.923,                0.00035,                0.00035,                0.00035
                    128,                 1.7962,                  1.052,                 1.6383,                0.77265,                0.63198,                 0.7068,                0.32691,                 1.9502,                 1.3063,                 1.9211,              0.0003368,              0.0003368,              0.0003368
                    129,                 1.7554,                 1.0383,                 1.6373,                0.76415,                0.62666,                0.70149,                0.32924,                 1.9543,                 1.2808,                 1.9155,              0.0003236,              0.0003236,              0.0003236
                    130,                 1.6861,                 1.0071,                 1.6031,                0.78915,                0.61141,                0.69359,                0.32401,                 1.9629,                 1.3357,                 1.9243,              0.0003104,              0.0003104,              0.0003104
                    131,                 1.7622,                 1.0398,                 1.6198,                0.75757,                0.61726,                0.69844,                0.32283,                  1.975,                 1.3225,                 1.9281,              0.0002972,              0.0002972,              0.0002972
                    132,                 1.7614,                 1.0355,                 1.6355,                0.77846,                0.58848,                 0.6813,                 0.3186,                 1.9795,                 1.3448,                 1.9405,               0.000284,               0.000284,               0.000284
                    133,                 1.7413,                 1.0273,                 1.6362,                0.77395,                0.62669,                0.69392,                0.32345,                 1.9615,                 1.2958,                 1.9222,              0.0002708,              0.0002708,              0.0002708
                    134,                 1.7405,                 1.0055,                 1.5982,                0.74717,                0.61023,                0.68384,                0.31615,                 1.9832,                 1.3374,                 1.9378,              0.0002576,              0.0002576,              0.0002576
                    135,                  1.754,                0.99821,                 1.6143,                0.76722,                0.63786,                0.70895,                0.32451,                 1.9825,                  1.264,                 1.9263,              0.0002444,              0.0002444,              0.0002444
                    136,                 1.7172,                 1.0012,                 1.6064,                  0.771,                0.61199,                0.68985,                0.32069,                  1.977,                 1.3017,                 1.9279,              0.0002312,              0.0002312,              0.0002312
                    137,                 1.7639,                 1.0237,                 1.6352,                0.77848,                0.61082,                0.69669,                 0.3223,                 1.9804,                  1.303,                 1.9328,               0.000218,               0.000218,               0.000218
                    138,                 1.7251,                0.99311,                 1.6067,                0.80741,                0.60632,                0.69696,                0.32084,                 1.9778,                 1.3339,                 1.9306,              0.0002048,              0.0002048,              0.0002048
                    139,                 1.7133,                 1.0141,                 1.5877,                0.78088,                0.62014,                0.69959,                0.32165,                 1.9895,                 1.2938,                 1.9383,              0.0001916,              0.0001916,              0.0001916
                    140,                 1.6859,                0.98226,                 1.6032,                0.78494,                0.61368,                0.69795,                0.31911,                 1.9977,                 1.3167,                  1.944,              0.0001784,              0.0001784,              0.0001784
                    141,                 1.7706,                 1.0339,                 1.6505,                 0.7953,                0.61376,                0.70021,                0.31875,                 1.9964,                 1.3639,                  1.944,              0.0001652,              0.0001652,              0.0001652
                    142,                 1.7193,                0.96419,                 1.6744,                0.77911,                0.60755,                 0.6942,                0.31638,                 1.9914,                 1.3123,                 1.9395,               0.000152,               0.000152,               0.000152
                    143,                 1.7035,                0.98003,                 1.6437,                0.76558,                0.62397,                0.69663,                0.32128,                 1.9828,                 1.3024,                 1.9233,              0.0001388,              0.0001388,              0.0001388
                    144,                 1.6996,                0.97143,                 1.6312,                0.78075,                0.63081,                0.70342,                0.32354,                  1.984,                 1.2946,                 1.9279,              0.0001256,              0.0001256,              0.0001256
                    145,                 1.6704,                0.94658,                 1.6382,                 0.7815,                0.63292,                0.70644,                0.32492,                 1.9868,                 1.2975,                 1.9378,              0.0001124,              0.0001124,              0.0001124
                    146,                 1.6895,                0.96993,                 1.6478,                0.77486,                0.63904,                 0.7053,                0.32292,                 1.9999,                 1.2789,                 1.9389,               9.92e-05,               9.92e-05,               9.92e-05
